year,origin,destination,male-germans,female-germans,all-germans,male-foreigners,female-foreigners,all-foreigners,all-males,all-females,all
2000,Bayern,Bremen,265,274,539,73,62,135,338,336,674
2000,Bayern,Nordrhein-Westfalen,5833,5717,11550,1763,1156,2919,7596,6873,14469
2000,Bayern,Hessen,4710,4724,9434,1451,944,2395,6161,5668,11829
2000,Bayern,Rheinland-Pfalz,1899,1855,3754,471,302,773,2370,2157,4527
2000,Bayern,Baden-Wuerttemberg,12339,12601,24940,2959,1953,4912,15298,14554,29852
2000,Bayern,Bayern,0,0,0,0,0,0,0,0,0
2000,Bayern,Saarland,318,306,624,74,47,121,392,353,745
2000,Bayern,Berlin,2724,2398,5122,503,393,896,3227,2791,6018
2000,Bayern,Brandenburg,846,762,1608,46,40,86,892,802,1694
2000,Bayern,Mecklenburg-Vorpommern,409,385,794,27,19,46,436,404,840
2000,Bayern,Sachsen,3068,2761,5829,265,125,390,3333,2886,6219
2000,Bayern,Sachsen-Anhalt,846,756,1602,117,38,155,963,794,1757
2000,Bayern,Thueringen,1818,1761,3579,170,73,243,1988,1834,3822
2000,Bayern,Insgesamt,39986,39207,79193,8797,5712,14509,48783,44919,93702
2000,Saarland,Schleswig-Holstein,62,50,112,9,13,22,71,63,134
2000,Saarland,Hamburg,66,57,123,32,12,44,98,69,167
2000,Saarland,Niedersachsen,214,205,419,38,32,70,252,237,489
2000,Saarland,Bremen,24,16,40,21,11,32,45,27,72
2000,Saarland,Nordrhein-Westfalen,618,689,1307,266,213,479,884,902,1786
2000,Saarland,Hessen,451,466,917,104,98,202,555,564,1119
2000,Saarland,Rheinland-Pfalz,1823,1726,3549,191,173,364,2014,1899,3913
2000,Saarland,Baden-Wuerttemberg,957,884,1841,172,156,328,1129,1040,2169
2000,Saarland,Bayern,498,448,946,108,82,190,606,530,1136
2000,Saarland,Saarland,0,0,0,0,0,0,0,0,0
2000,Saarland,Berlin,160,146,306,55,46,101,215,192,407
